6-March-2017,36.9,1
7-March-2017,-11.35,-1
8-March-2017,-15.15,-1
9-March-2017,-2.45,-1
10-March-2017,-12.55,-1
14-March-2017,-26.55,-1
15-March-2017,15,1
16-March-2017,-13.65,-1
17-March-2017,-4.35,-1
20-March-2017,-20.65,-1
21-March-2017,-21.8,-1
22-March-2017,4.8,1
23-March-2017,7.2,1
24-March-2017,12.1,1
27-March-2017,-16.8,-1
28-March-2017,-9.4,-1
29-March-2017,4.65,1
30-March-2017,14.35,1
31-March-2017,49.2,1
3-April-2017,39.2,1
5-April-2017,26.9,1
6-April-2017,28.65,1
7-April-2017,-18.55,-1
10-April-2017,-34.95,-1
11-April-2017,-11.9,-1
12-April-2017,-34.65,-1
13-April-2017,12.35,1
17-April-2017,23.3,1
18-April-2017,-25.05,-1
19-April-2017,-1.15,-1
20-April-2017,-7.1,-1
21-April-2017,24.55,1
24-April-2017,6.4,1
25-April-2017,-27.2,-1
26-April-2017,-18.75,-1
27-April-2017,-11.95,-1
28-April-2017,-14.25,-1
2-May-2017,-29.2,-1
3-May-2017,-5,-1
4-May-2017,-14.35,-1
5-May-2017,-32.4,-1
8-May-2017,-6.65,-1
9-May-2017,7.6,1
10-May-2017,26.5,1
11-May-2017,-4.9,-1
12-May-2017,-13.05,-1
15-May-2017,-10.85,-1
16-May-2017,11.4,1
17-May-2017,-3.6,-1
18-May-2017,-19.75,-1
19-May-2017,-20.5,-1
22-May-2017,1.2,1
23-May-2017,-19.6,-1
24-May-2017,-8.65,-1
25-May-2017,2.9,1
26-May-2017,33.8,1
29-May-2017,19.25,1
30-May-2017,2.3,1
31-May-2017,-27.4,-1
1-June-2017,-9.5,-1
2-June-2017,-5.3,-1
5-June-2017,3.9,1
6-June-2017,-25.5,-1
7-June-2017,26.4,1
8-June-2017,-10.1,-1
9-June-2017,-8.5,-1
12-June-2017,-10.15,-1
13-June-2017,-3.4,-1
14-June-2017,37.9,1
15-June-2017,22.5,1
16-June-2017,-0.95,-1
19-June-2017,17.25,1
20-June-2017,-2.75,-1
21-June-2017,8.1,1
22-June-2017,3.15,1
23-June-2017,-4,-1
27-June-2017,3.9,1
28-June-2017,-39.8,-1
29-June-2017,-19.1,-1
30-June-2017,-12.65,-1
3-July-2017,-3.9,-1
4-July-2017,35.2,1
5-July-2017,12.6,1
6-July-2017,-3.9,-1
7-July-2017,52.8,1
10-July-2017,0.45,1
11-July-2017,-4.8,-1
12-July-2017,11.7,1
13-July-2017,8.85,1
14-July-2017,9.05,1
17-July-2017,17.05,1
18-July-2017,-28.5,-1
19-July-2017,13.8,1
20-July-2017,-11.3,-1
21-July-2017,32.2,1
24-July-2017,12.1,1
25-July-2017,-23.35,-1
26-July-2017,11.9,1
27-July-2017,-31.6,-1
28-July-2017,-2.75,-1
31-July-2017,13.8,1
1-August-2017,-20.3,-1
2-August-2017,20.5,1
3-August-2017,21.65,1
4-August-2017,-38.05,-1
7-August-2017,-13,-1
8-August-2017,-16.6,-1
9-August-2017,-1.15,-1
10-August-2017,-13.9,-1
11-August-2017,-8.35,-1
14-August-2017,16.65,1
16-August-2017,-4.05,-1
17-August-2017,-5.65,-1
18-August-2017,9.4,1
21-August-2017,-11.25,-1
22-August-2017,-10.65,-1
23-August-2017,14.3,1
24-August-2017,-24.3,-1
28-August-2017,-13.2,-1
29-August-2017,-28.25,-1
30-August-2017,19.15,1
31-August-2017,23.2,1
1-September-2017,7.55,1
4-September-2017,-3.65,-1
5-September-2017,14,1
6-September-2017,13.2,1
7-September-2017,-5.1,-1
8-September-2017,-2.95,-1
11-September-2017,-2.3,-1
12-September-2017,1.2,1
13-September-2017,25.1,1
14-September-2017,-12.8,-1
15-September-2017,1.3,1
18-September-2017,-1.6,-1
19-September-2017,-9,-1
20-September-2017,-9.15,-1
21-September-2017,-6.7,-1
22-September-2017,-23.2,-1
25-September-2017,2.55,1
26-September-2017,-1.3,-1
27-September-2017,-28.9,-1
28-September-2017,-13.25,-1
29-September-2017,-8.85,-1
3-October-2017,6,1
4-October-2017,20.85,1
5-October-2017,-0.8,-1
6-October-2017,11.95,1
9-October-2017,-6.1,-1
10-October-2017,12.4,1
11-October-2017,-4.6,-1
12-October-2017,31.5,1
