Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Delta,Label
19-June-2018,1015,1015,993.05,995.65,1002.34672176565,236423,7261,236977819,94910,40.14,21.95,-19.35,-19.35,-1
18-June-2018,1010.8,1018.6,1007.7,1015,1014.04293316188,292408,5158,296514266,132923,45.46,10.9,4.2,4.2,1
15-June-2018,1007.5,1023.5,999.75,1013.85,1015.99971424143,412936,13182,419542858,146759,35.54,23.75,6.35,6.35,1
14-June-2018,996.2,1011.7,988.2,1007.5,1002.79991226161,294056,6461,294879331,108044,36.74,23.5,11.3,11.3,1
13-June-2018,999,1004.9,990,1002.1,999.18607682594,343686,7975,343406266,125598,36.54,14.9,3.1,3.1,1
12-June-2018,982.2,998,980.45,995.4,990.892382173563,243324,5183,241107898,92668,38.08,17.55,13.2,13.2,1
11-June-2018,984.35,999.5,978.2,982.45,993.511780280824,832408,7753,827007154,682713,82.02,21.3,-1.9,-1.9,-1
8-June-2018,968.9,986.5,960.55,983.4,974.264816657592,266305,5951,259451592,94254,35.39,25.95,14.5,14.5,1
7-June-2018,955,975.6,955,971.4,970.583696735893,329983,7317,320276120,145324,44.04,20.6,16.4,16.4,1
6-June-2018,948.9,955.4,942.55,953.4,952.240181400464,183682,4254,174909381,85289,46.43,12.85,4.5,4.5,1
5-June-2018,941.25,955,941.2,947.85,949.14768734301,289429,6501,274710866,121237,41.89,13.8,6.6,6.6,1
4-June-2018,934.8,943.75,932,939.35,939.162881165721,1868577,8483,1754898159,105184,5.63,11.75,4.55,4.55,1
1-June-2018,921.3,934.9,919.1,929.2,928.297577551998,2034925,5546,1889015948,1852911,91.06,15.8,7.9,7.9,1
31-May-2018,919.35,924,916.5,921.3,921.284894667758,2016619,7010,1857880623,815070,40.42,7.5,1.95,1.95,1
30-May-2018,914,922.8,907.1,917.35,916.66446133585,482165,5720,441983520,208916,43.33,15.7,3.35,3.35,1
29-May-2018,920.05,927.9,914.15,917,919.990905052797,227379,4026,209186612,63569,27.96,13.75,-3.05,-3.05,-1
28-May-2018,923.55,927.15,918.95,921,922.220518379118,1353411,4338,1248143394,333915,24.67,8.2,-2.55,-2.55,-1
25-May-2018,918.05,924.25,915.6,921.75,920.53224406346,175102,3836,161187037,72906,41.64,8.65,3.7,3.7,1
24-May-2018,916.7,920.95,910.85,916.05,916.529192734104,238484,4963,218577548,80733,33.85,10.1,-0.65,-0.65,-1
23-May-2018,927,927.1,909.05,912.25,917.512366170714,275631,9609,252894851,118402,42.96,18.05,-14.75,-14.75,-1
22-May-2018,933,934.2,924.5,926.9,929.621822033898,220896,5801,205349742,80243,36.33,9.7,-6.1,-6.1,-1
21-May-2018,932,935.4,922,931.95,927.531718386712,233114,5205,216220629,92122,39.52,13.4,-0.05,-0.05,-1
18-May-2018,946,953.55,931.5,933.4,941.189844231749,484887,8371,456370720,265293,54.71,22.05,-12.6,-12.6,-1
17-May-2018,959.9,960.7,942.5,945.15,949.041759167871,1414396,6860,1342320868,459082,32.46,18.2,-14.75,-14.75,-1
16-May-2018,976.3,976.3,954.4,956.45,961.539132749186,1288716,7546,1239150865,299595,23.25,21.9,-19.85,-19.85,-1
15-May-2018,980,999.3,977,979.35,991.202571272163,305063,7562,302379230,110871,36.34,22.3,-0.65,-0.65,-1
14-May-2018,993.9,993.9,976.4,984.85,983.688782776242,167118,5265,164392102,52045,31.14,17.5,-9.05,-9.05,-1
11-May-2018,982.8,990.15,977.25,988.5,984.938234677964,343688,7210,338511452,140530,40.89,12.9,5.7,5.7,1
10-May-2018,977.1,984,974.5,980.7,980.337279733962,319954,8042,313662834,123112,38.48,9.5,3.6,3.6,1
9-May-2018,967.65,982.65,962,975.3,975.1970305012,333659,5265,325383266,96837,29.02,20.65,7.65,7.65,1
8-May-2018,973.55,982,965.15,967.65,973.739739535214,337704,6241,328835805,128504,38.05,16.85,-5.9,-5.9,-1
7-May-2018,958,974,956.5,971.85,964.644672944073,350888,11165,338482240,166744,47.52,17.5,13.85,13.85,1
4-May-2018,963.95,964.5,949.65,953.9,954.60935004813,179721,6037,171563347,78990,43.95,14.85,-10.05,-10.05,-1
3-May-2018,977,978.8,959.3,962.6,963.481683115714,319978,6539,308292942,142283,44.47,19.5,-14.4,-14.4,-1
2-May-2018,968.8,978.2,966.25,973,973.4584051432,309846,9705,301622193,99902,32.24,11.95,4.2,4.2,1
30-April-2018,984.7,992,961,963.1,969.730680196838,549488,14823,532855372,153539,27.94,31,-21.6,-21.6,-1
27-April-2018,988.25,1010.7,988.25,994.75,998.945870012254,1092703,19151,1091551149,433861,39.71,22.45,6.5,6.5,1
26-April-2018,972,988,963.4,975.35,977.860782880884,530962,11869,519206917,145526,27.41,24.6,3.35,3.35,1
25-April-2018,972.55,981.45,964.5,970.7,971.498738777708,425381,7326,413257105,121573,28.58,16.95,-1.85,-1.85,-1
24-April-2018,937.7,974.5,935,969.75,959.968820653237,511300,11378,490832058,154076,30.13,39.5,32.05,32.05,1
23-April-2018,927.3,942.95,926,935.15,935.314811788076,159076,3460,148786139,45987,28.91,16.95,7.85,7.85,1
20-April-2018,939,941.6,921.45,928.05,927.183351479114,214926,3479,199275809,100231,46.64,20.15,-10.95,-10.95,-1
19-April-2018,938.2,943.95,935.1,941.25,940.75322578442,366035,3423,344348607,183260,50.07,8.85,3.05,3.05,1
18-April-2018,945,948.25,934,937,939.48578739717,205557,2922,193117880,112215,54.59,14.25,-8,-8,-1
17-April-2018,938.25,947.5,936.1,943.7,941.844371396091,365055,6860,343824997,183393,50.24,11.4,5.45,5.45,1
16-April-2018,935,939.9,928.3,937.25,933.044785738029,147413,2950,137542931,74326,50.42,11.6,2.25,2.25,1
13-April-2018,931.15,941.4,929.1,938.85,935.733485851331,723849,9567,677329748,521654,72.07,12.3,7.7,7.7,1
